key	latitude	longitude
H429F	22.2485255	114.1501576
H210F	22.27490622	114.1791642
H421F	22.25024351	114.1766512
H422F2	22.24792186	114.1610034
H904F	22.2793944	114.1813669
H216F	22.27930409	114.1814057
H305F	22.28175082	114.1912256
H106F	22.2859674	114.1557495
H110F	22.28688829	114.153993
H138F	22.27768676	114.1596417
H207F	22.28128179	114.1819201
H204F	22.28054134	114.1744485
H222F	22.27971054	114.1765444
H215F	22.28160696	114.1790867
H214F	22.27981869	114.1685587
H201F	22.27783195	114.1685006
H802F	22.29106727	114.2119641
H801F	22.29401254	114.2054047
H803F	22.28826553	114.2211432
H307F	22.29022115	114.195273
H903F	22.27573701	114.1808526
H107F	22.28142516	114.1570698
H130F	22.28179051	114.1323068
H132F2	22.27758183	114.130872
H109F	22.27982723	114.1616694
H108F	22.28036864	114.1576522
H209F	22.27504169	114.1783686
H422F1	22.24828309	114.1611004
H401F	22.25055947	114.1706947
H203F	22.28011673	114.1846175
K202F	22.31981545	114.1728075
K209F	22.32660644	114.17206
K104F	22.30127544	114.1680916
K106F	22.30270251	114.1772723
K109F	22.30557423	114.1788251
K221F	22.31830685	114.1635385
K305F	22.33866944	114.1518975
K802F	22.34304974	114.1551682
TK110F	22.30500482	114.2544171
K627F	22.3334725	114.2219631
K107F	22.30209742	114.1805719
K108F	22.3057997	114.1667908
K613F	22.32535714	114.2087889
K404F	22.3140446	114.1874923
K325F	22.3371325	114.142375
K814F	22.32573725	114.2042658
K812F	22.30913278	114.2295157
K813F	22.31230599	114.2174335
K621F	22.32951984	114.2107603
K809F2	22.31947692	114.2148344
K810F	22.31464427	114.2199383
K602F	22.31013525	114.2292831
K804F	22.3420935	114.1647497
K505F	22.34290651	114.1845919
K614F	22.33399946	114.20849
K508F	22.34148739	114.1989686
K405F	22.32217214	114.1874347
K205F	22.32230774	114.1686338
TK101F	22.32604763	114.2511576
TK105F	22.31815879	114.2616358
K506F	22.32769862	114.1905897
K521F	22.33257458	114.1961231
K123F	22.31084812	114.1779419
K409F	22.32128749	114.1780488
K408F	22.31726887	114.1785729
K102F	22.29557735	114.1753702
K101F	22.29458393	114.1725851
K607F	22.32400731	114.2258911
K811F	22.31209325	114.2341463
TK904F	22.31734805	114.2576851
K111F	22.31216628	114.1668971
K112F	22.31317793	114.1716528
K502F	22.34014333	114.1790585
K816F	22.32504352	114.1618295
K914F	22.33089245	114.1427454
K911F	22.31438739	114.1614812
TW117F	22.37020629	114.1234625
TW109F	22.3648908	114.1353776
SM936F	22.37653656	114.1230523
TC101F	22.34864601	114.1115299
TC302F	22.34472737	114.0932424
TW102F	22.34091561	114.132378
TW108F	22.36080797	114.1315632
TW105F	22.35524257	114.1231284
TW116F	22.36698179	114.1216578
TC104F	22.33851168	114.1321335
TW121F	22.34854601	114.1099184
TW120F	22.3701465	114.1085293
TW103F	22.36196889	114.118951
TW112F	22.37245862	114.1362978
TI101F	22.43594219	114.0005451
YL111F	22.44465535	114.0361091
YL106F	22.44436291	114.0321847
YL101F	22.44640711	114.0165806
TC604F	22.36029874	114.081767
SW109F	22.42806827	114.0011184
SW113F	22.44337572	114.0392287
SW112F	22.43381492	114.0317002
SW111F	22.43812359	114.0139673
BC702F	22.4863216	114.0584951
FH711F	22.46557484	114.1503591
TP113F	22.46264873	114.1489023
FH104F	22.5040348	114.0949935
FH107F	22.49860284	114.127913
FH106F	22.50049801	114.1240735
NH101F	22.48802377	114.1464192
NH109F	22.50041071	114.1342197
TP114F	22.44660398	114.1719393
BC103F	22.50212205	114.0816315
BC101F	22.4732254	114.0556398
BC102F	22.4927649	114.0649812
NH113F	22.50305446	114.1267355
NH115F	22.50116311	114.1470091
TP105F	22.45119145	114.172114
TP112F	22.45219287	114.1586098
TP102F	22.45688973	114.1773116
ST115F	22.38982807	114.1975391
ST725F	22.37000701	114.1879529
ST731F	22.41374312	114.227933
ST732F	22.41757026	114.2332959
ST112F	22.37150644	114.1792338
ST117F	22.42173545	114.2268287
ST119F	22.42718513	114.2402838
ST715F	22.37760035	114.2004308
ST106F	22.3779165	114.1998871
ST721F	22.38380417	114.2014612
SM933F	22.37778258	114.1824479
SM934F	22.38244241	114.1741555
ST109F	22.38920413	114.2032781
ST114F	22.3843925	114.1898379
ST703F	22.39488488	114.1996569
ST712F1	22.39842255	114.2123212
ST714F	22.38789322	114.2111629
TH110F	22.43822255	114.1968177
TH114F	22.44478893	114.1776419
TH101F	22.41141738	114.2125867
TH703F	22.44067912	114.1592719
TH701F	22.45634561	114.1496225
ST701F	22.40714628	114.2110997
FH706F	22.49162524	114.1386246
ST922F	22.36487795	114.1822532
SW103F	22.426992	113.982439
SW108F	22.42438851	113.9971503
TL102F	22.41030489	114.0605797
TL103F	22.37542451	114.0669298
TS102F	22.33475496	114.1066537
TS104F	22.34238857	114.1437231
TS105F	22.36758712	114.1714857
TW701F	22.37667801	114.1145851
H702F	22.29032691	114.1423865
H703F	22.28871049	114.142678
K901F	22.30759635	114.1612005
K931F	22.33368375	114.2065874
K952F	22.30140107	114.2339672
ST942F	22.38206891	114.2093748
K121F	22.29627254	114.1692661
TL101F	22.43755	114.05799
TS101F	22.34330086	114.0938645
CW103F	22.28737633	114.1569719
CW803F	22.28988738	114.191702
HH001F	22.47786575	114.1535925
HH002F	22.53028872	114.1709837
HH003F	22.53909273	114.1618259
HH004F	22.54589147	114.1527062
TC560F	22.35110094	114.074065
TC551F	22.34523759	114.0572263
TC573F	22.33733939	114.0389447
NL121F	22.3249869	114.0204954
NL124F	22.31008185	113.9904935
NL206F	22.29964603	113.9709987
NL126F	22.2980955	113.9660833
NL128F	22.2889767	113.9476306
NL022F	22.30805	113.93874
PB106F	22.3253802	114.0357825
TR101F	22.37407235	114.1030026
TR103F	22.37033628	114.0899744
TR105F	22.37129549	114.0777009
TC612F	22.37038995	114.0737207
TR107F	22.36559198	114.0694813
TR108F	22.36947897	114.0619535
TR111F	22.36486675	114.0416459
TR114F	22.35818188	114.0191574
TR116F	22.36741164	114.002117
TR119F	22.38313566	113.9801811
TR704F	22.39807653	113.9764601
TR706F	22.41137289	113.9793256
RT116F	22.38552239	113.9750312
TM103F	22.38336855	113.9643918
RT115F	22.37616562	113.9601401
TM101F	22.37340927	113.9654167
TM118F	22.39405567	113.974611
TC001F	22.31537	113.959797
TC002F	22.372131	113.953067
TC003F	22.363326	113.948462
K701F	22.30226	114.23342
K702F	22.30048	114.23066
TK701F	22.29197	114.26573
FH707F	22.48736999	114.146514
TK702F	22.29777	114.25578
NL131F	22.32061	113.95746
NL184F	22.31181	113.95863
AID01101	22.248091	114.152525
AID01102	22.24712681	114.1577149
AID01103	22.24863539	114.1621481
AID01104	22.24837379	114.1658151
AID01105	22.2496834	114.1686381
AID01106	22.25044211	114.1718782
AID01107	22.24999065	114.1762923
AID01108	22.27186288	114.1801247
AID01109	22.27659491	114.1810758
AID01110	22.279356	114.181217
AID01111	22.30412026	114.1809989
AID01112	22.30492398	114.1813386
AID01114	22.31330444	114.1769423
AID01115	22.31850605	114.1789805
AID01116	22.32074565	114.1786797
AID01117	22.32435789	114.1783109
AID01118	22.32843068	114.178476
AID01120	22.33496881	114.1788837
AID01121	22.33848171	114.1791459
AID01123	22.34521846	114.1813302
AID01124	22.3592791	114.1751851
AID01125	22.3634241	114.1798453
AID01126	22.36544683	114.1836319
AID01127	22.36700899	114.1859817
AID01128	22.37114477	114.1892152
AID01129	22.37381747	114.1929731
AID01130	22.37448544	114.1957016
AID01131	22.37624602	114.1986634
AID01132	22.3809075	114.2005981
AID01134	22.38752486	114.2006753
AID01135	22.39016201	114.1990055
AID01136	22.39401803	114.1990838
AID01201	22.34566999	114.1815632
AID01203	22.33891517	114.1791653
AID01204	22.33496881	114.1789128
AID01206	22.32842165	114.1786021
AID01207	22.32398763	114.1782818
AID01208	22.32130555	114.1782623
AID01209	22.31849702	114.179
AID01210	22.31330444	114.1769617
AID01211	22.31041465	114.1782331
AID01212	22.3094574	114.1788251
AID01213	22.30526714	114.1814745
AID01214	22.280729	114.180701
AID01215	22.278219	114.181221
AID01216	22.27331682	114.1796008
AID01217	22.250597	114.177565
AID01218	22.25005384	114.1737118
AID01219	22.25007176	114.1694335
AID01220	22.2482744	114.1650487
AID01221	22.24862632	114.1617697
AID01222	22.24761461	114.1590439
AID01223	22.24747861	114.1546396
AID02104	22.30694617	114.2331057
AID02105	22.30887989	114.2296126
AID02106	22.30812221	114.2267978
AID02107	22.30651544	114.2245554
AID02108	22.30788913	114.2208679
AID02109	22.31151117	114.2179477
AID02110	22.31318224	114.2163274
AID02111	22.31551267	114.2140375
AID02112	22.316913	114.2113882
AID02113	22.31887341	114.2075548
AID02114	22.3228384	114.2044691
AID02115	22.32760644	114.2051204
AID02116	22.33323248	114.2051603
AID02117	22.33842535	114.2034335
AID02118	22.37826677	114.2107819
AID02119	22.38236672	114.2103459
AID02120	22.3877668	114.2111629
AID02121	22.39230051	114.2092801
AID02122	22.3965898	114.2102328
AID02123	22.39997576	114.2124769
AID02124	22.40280159	114.215634
AID02125	22.40600689	114.2177521
AID02126	22.40936721	114.2137031
AID02127	22.41184191	114.21214
AID02201	22.34024044	114.2038221
AID02202	22.3353096	114.2046366
AID02203	22.33237458	114.2051116
AID02204	22.32719107	114.2049068
AID02205	22.32376857	114.2043431
AID02206	22.31925276	114.2072249
AID02207	22.31706671	114.2104759
AID02208	22.31617205	114.2133874
AID02209	22.31284803	114.2166476
AID02210	22.3111589	114.2182776
AID02211	22.3086298	114.2202955
AID02212	22.30629936	114.2222843
AID02213	22.30638009	114.2241963
AID02214	22.30851925	114.2277976
AID02215	22.30828304	114.2321164
AID03101	22.287996	114.1379233
AID03102	22.2887006	114.1388353
AID03103	22.28851255	114.1463558
AID03104	22.28869255	114.1432602
AID03106	22.30780401	114.1607347
AID03107	22.31424287	114.1611901
AID03108	22.31770145	114.1598309
AID03109	22.31936301	114.159093
AID03110	22.32431136	114.1556952
AID03111	22.32713749	114.152511
AID03112	22.32897925	114.1495114
AID03113	22.33021588	114.1463564
AID03114	22.33166006	114.1427743
AID03115	22.36920891	114.0768383
AID03116	22.37144646	114.0736228
AID03117	22.4234468	114.0642015
AID03118	22.42813342	114.0639257
AID03119	22.43195249	114.0627667
AID03120	22.43502139	114.060734
AID03121	22.43745767	114.0580606
AID03122	22.44005575	114.0544641
AID03123	22.44312344	114.051003
AID03124	22.44718551	114.0489301
AID03125	22.44964125	114.0482478
AID03201	22.37390021	114.0696886
AID03202	22.33462042	114.1356001
AID03203	22.33282441	114.1400755
AID03204	22.32936742	114.1486862
AID03205	22.32683954	114.1529091
AID03206	22.32400436	114.1559767
AID03207	22.32131349	114.1580057
AID03208	22.31895665	114.1592872
AID03209	22.31687971	114.1601707
AID03210	22.31468536	114.1610542
AID03211	22.30700933	114.1609192
AID04101	22.28659457	114.131461
AID04102	22.28749888	114.1361379
AID04103	22.28899887	114.1399608
AID04104	22.2890808	114.1429302
AID04105	22.28822405	114.1490826
AID04106	22.29326424	114.1971658
AID04107	22.2938687	114.201426
AID04108	22.29412091	114.2054048
AID04109	22.29318113	114.2085875
AID04110	22.29116665	114.2117894
AID04111	22.28954921	114.2159617
AID04112	22.28752487	114.221696
AID04113	22.28417443	114.221957
AID04114	22.28130192	114.2246342
AID04115	22.27997282	114.2297861
AID04116	22.28224709	114.2340759
AID04117	22.27876033	114.2366555
AID04118	22.27529184	114.2385849
AID04119	22.27116465	114.2390779
AID04120	22.2674807	114.2376307
AID04121	22.29385898	114.2056182
AID04122	22.29319937	114.2076948
AID04201	22.26459999	114.2374257
AID04202	22.26897061	114.238
AID04203	22.27167045	114.2388744
AID04204	22.27640298	114.2376054
AID04205	22.27898614	114.2365392
AID04206	22.28136181	114.2348324
AID04207	22.28126407	114.2301845
AID04208	22.28061524	114.2258177
AID04209	22.28126586	114.2244401
AID04210	22.28600779	114.2214336
AID04211	22.28842864	114.2190375
AID04212	22.28844642	114.2201049
AID04213	22.28910676	114.2157675
AID04214	22.29087764	114.2119252
AID04215	22.29288308	114.2087816
AID04216	22.29389518	114.2052106
AID04217	22.29350781	114.1991163
AID04218	22.2875291	114.1515281
AID04219	22.28842253	114.1479666
AID04220	22.28889136	114.1439589
AID04221	22.28817674	114.1384473
AID04222	22.28951355	114.2140112
AID05101	22.31542134	114.2182594
AID05102	22.31673143	114.2156198
AID05103	22.31817721	114.2117379
AID05104	22.3188824	114.2077975
AID05109	22.30853617	114.1829207
AID05110	22.30588128	114.1782331
AID05111	22.30716361	114.1739143
AID05113	22.31044147	114.1673631
AID05114	22.31326801	114.1668291
AID05115	22.3168441	114.1662756
AID05116	22.31847848	114.164179
AID05117	22.32277686	114.161985
AID05118	22.3267487	114.1595036
AID05119	22.32855591	114.1570438
AID05120	22.33148132	114.1533548
AID05121	22.33557141	114.1485394
AID05122	22.3363472	114.1441031
AID05123	22.3370778	114.1400162
AID05124	22.33798861	114.134774
AID05125	22.3434053	114.1288313
AID05126	22.34817223	114.124898
AID05127	22.35124287	114.1256929
AID05128	22.35607328	114.1228077
AID05129	22.35851063	114.1201757
AID05130	22.36203197	114.1185626
AID05131	22.3641441	114.1158044
AID05132	22.36634641	114.1128615
AID05133	22.36950582	114.1096948
AID05134	22.37236722	114.1066931
AID05135	22.37420787	114.1031287
AID05201	22.3737916	114.101255
AID05202	22.37201519	114.1070623
AID05203	22.36921697	114.1100056
AID05204	22.36650902	114.1130071
AID05205	22.36260975	114.1180866
AID05206	22.35956704	114.1197093
AID05207	22.35655172	114.1222833
AID05208	22.35422265	114.1247501
AID05209	22.34973473	114.1255672
AID05210	22.34654674	114.1249568
AID05211	22.34401896	114.1274235
AID05212	22.33791649	114.1352303
AID05213	22.33717701	114.1394628
AID05214	22.33650957	114.1432003
AID05215	22.33522804	114.1474037
AID05216	22.33542719	114.1501314
AID05217	22.3316168	114.1534712
AID05218	22.3273099	114.1588591
AID05219	22.32449274	114.1627517
AID05220	22.32209082	114.1654599
AID05221	22.3185599	114.1661979
AID05222	22.31487545	114.1667417
AID05223	22.31002607	114.167499
AID05224	22.30898773	114.1716432
AID05225	22.30710943	114.1744093
AID05226	22.30599868	114.1778352
AID05227	22.30838266	114.1826198
AID05232	22.32081529	114.2059246
AID05233	22.31872881	114.2081274
AID05234	22.31814115	114.2114273
AID05235	22.316081	114.2165611
AID07101	22.31013704	114.2664351
AID07102	22.31339861	114.2636323
AID07103	22.31638994	114.2594218
AID07104	22.31924529	114.2560361
AID07107	22.31032431	114.2310496
AID07110	22.31546654	114.2181042
AID07112	22.32325183	114.214321
AID07114	22.33063978	114.2100229
AID07115	22.33194957	114.2082469
AID07117	22.33893112	114.203123
AID07120	22.3425452	114.1863101
AID07121	22.34317745	114.184223
AID07122	22.34402646	114.1802138
AID07123	22.34472185	114.1771074
AID07124	22.34324978	114.1716905
AID07125	22.34166032	114.1695549
AID07126	22.34192192	114.1647205
AID07127	22.34121736	114.1625461
AID07128	22.34249937	114.1592745
AID07129	22.3427697	114.154479
AID07130	22.34164952	114.1517805
AID07131	22.34057439	114.1488005
AID07132	22.34105189	114.1429371
AID07133	22.34105995	114.1385881
AID07134	22.33937063	114.1361035
AID07201	22.33996666	114.1361519
AID07202	22.33995889	114.1415103
AID07203	22.33988751	114.1457331
AID07204	22.3402762	114.1478007
AID07205	22.34184826	114.1522464
AID07206	22.34280593	114.155275
AID07207	22.34108183	114.1617987
AID07209	22.34224732	114.1699626
AID07210	22.34291571	114.1743795
AID07211	22.34463154	114.1764084
AID07213	22.3426265	114.1858733
AID07219	22.33007069	114.2108381
AID07220	22.32806544	114.2129634
AID07221	22.32214104	114.2144275
AID07222	22.31898025	114.2147955
AID07224	22.31462607	114.2204624
AID07225	22.31327052	114.2239074
AID07227	22.31101949	114.2315933
AID07228	22.31221936	114.2350392
AID07229	22.3212342	114.2514463
AID07230	22.31895619	114.256298
AID07231	22.31563079	114.260557
AID07232	22.31274793	114.2645248
AID08101	22.32759229	114.0253264
AID08102	22.32524015	114.0209125
AID08103	22.32500998	114.0163896
AID08104	22.32477045	114.0116823
AID08105	22.32306814	114.0072583
AID08106	22.32110394	114.0029415
AID08107	22.31859822	113.9990234
AID08108	22.31529949	113.9966885
AID08109	22.31208994	113.9933928
AID08110	22.30943884	113.988893
AID08111	22.30703196	113.9848395
AID08112	22.30453478	113.9808736
AID08113	22.30216382	113.9768204
AID08114	22.30009053	113.9725727
AID08115	22.29876627	113.9680232
AID08116	22.29795784	113.964395
AID08117	22.29637847	113.9583322
AID08118	22.29463146	113.9552975
AID08119	22.29247886	113.9528748
AID08120	22.29024412	113.9498605
AID08121	22.28950534	113.9446992
AID08122	22.29100001	113.940662
AID08201	22.29380308	113.9379186
AID08202	22.29190915	113.9396104
AID08203	22.28960394	113.9441848
AID08204	22.28973677	113.9486968
AID08205	22.29210812	113.9525261
AID08206	22.29488468	113.9555688
AID08207	22.29654157	113.9587395
